[(1333, 3087), (830, 2976), 'Turn Right', '56_75_89']
[(1333, 3091), (830, 2976), 'Turn Right', '56_75_89']
[(1333, 3095), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3099), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3103), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3107), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3111), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3115), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3119), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3123), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3127), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3131), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3135), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3139), (830, 2976), 'Turn Right', '56_75_89']
[(1334, 3143), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3147), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3151), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3155), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3159), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3163), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3167), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3171), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3175), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3179), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3183), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3187), (830, 2976), 'Turn Right', '56_75_89']
[(1335, 3191), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3195), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3199), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3203), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3207), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3211), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3215), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3219), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3223), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3227), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3231), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3235), (830, 2976), 'Turn Right', '56_75_89']
[(1336, 3239), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3243), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3247), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3251), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3255), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3259), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3263), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3267), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3271), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3275), (830, 2976), 'Turn Right', '56_75_89']
[(1337, 3279), (830, 2976), 'Turn Right', '56_75_89']
[(2709, 1879), (2769, 2321), 'Forward', '2_151_113']
[(2709, 1879), (3564, 2017), 'Turn Right', '2_151_113']
[(2709, 1879), (3564, 2052), 'Turn Right', '2_151_113']
[(2714, 1880), (2769, 2321), 'Forward', '2_151_113']
[(2714, 1880), (3564, 2017), 'Turn Right', '2_151_113']
[(2714, 1880), (3564, 2052), 'Turn Right', '2_151_113']
[(2718, 1881), (2769, 2321), 'Forward', '2_151_113']
[(2718, 1881), (3564, 2017), 'Turn Right', '2_151_113']
[(2718, 1881), (3564, 2052), 'Turn Right', '2_151_113']
[(2722, 1882), (2769, 2321), 'Forward', '2_151_113']
[(2722, 1882), (3564, 2017), 'Turn Right', '2_151_113']
[(2722, 1882), (3564, 2052), 'Turn Right', '2_151_113']
[(2724, 1872), (2769, 2321), 'Forward', '2_151_113']
[(2724, 1872), (3564, 2017), 'Turn Right', '2_151_113']
[(2724, 1872), (3564, 2052), 'Turn Right', '2_151_113']
[(2726, 1875), (2769, 2321), 'Forward', '2_151_113']
[(2726, 1875), (3564, 2017), 'Turn Right', '2_151_113']
[(2726, 1875), (3564, 2052), 'Turn Right', '2_151_113']
[(2726, 1884), (2769, 2321), 'Forward', '2_151_113']
[(2726, 1884), (3564, 2017), 'Turn Right', '2_151_113']
[(2726, 1884), (3564, 2052), 'Turn Right', '2_151_113']
[(2729, 1877), (2769, 2321), 'Forward', '2_151_113']
[(2729, 1877), (3564, 2017), 'Turn Right', '2_151_113']
[(2729, 1877), (3564, 2052), 'Turn Right', '2_151_113']
[(2730, 1885), (2769, 2321), 'Forward', '2_151_113']
[(2730, 1885), (3564, 2017), 'Turn Right', '2_151_113']
[(2730, 1885), (3564, 2052), 'Turn Right', '2_151_113']
[(2732, 1879), (2769, 2321), 'Forward', '2_151_113']
[(2732, 1879), (3564, 2017), 'Turn Right', '2_151_113']
[(2732, 1879), (3564, 2052), 'Turn Right', '2_151_113']
[(2734, 1886), (2769, 2321), 'Forward', '2_151_113']
[(2734, 1886), (3564, 2017), 'Turn Right', '2_151_113']
[(2734, 1886), (3564, 2052), 'Turn Right', '2_151_113']
[(2735, 1881), (2769, 2321), 'Forward', '2_151_113']
[(2735, 1881), (3564, 2017), 'Turn Right', '2_151_113']
[(2735, 1881), (3564, 2052), 'Turn Right', '2_151_113']
[(2738, 1883), (2769, 2321), 'Forward', '2_151_113']
[(2738, 1883), (3564, 2017), 'Turn Right', '2_151_113']
[(2738, 1883), (3564, 2052), 'Turn Right', '2_151_113']
[(2739, 1888), (2769, 2321), 'Forward', '2_151_113']
[(2739, 1888), (3564, 2017), 'Turn Right', '2_151_113']
[(2739, 1888), (3564, 2052), 'Turn Right', '2_151_113']
[(2741, 1885), (2769, 2321), 'Forward', '2_151_113']
[(2741, 1885), (3564, 2017), 'Turn Right', '2_151_113']
[(2741, 1885), (3564, 2052), 'Turn Right', '2_151_113']
[(2743, 1889), (2769, 2321), 'Forward', '2_151_113']
[(2743, 1889), (3564, 2017), 'Turn Right', '2_151_113']
[(2743, 1889), (3564, 2052), 'Turn Right', '2_151_113']
[(2744, 1887), (2769, 2321), 'Forward', '2_151_113']
[(2744, 1887), (3564, 2017), 'Turn Right', '2_151_113']
